Entry,Majority protein IDs,Fasta headers,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
P04264,sp|P04264|K2C1_HUMAN;CON__P04264,"sp|P04264|K2C1_HUMAN;Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6;",4,2,17,1.7959,1.1086,0.5792,0.21565789039488165,0.6708811918475515,0.7739495313772031
P13645,CON__P13645;sp|P13645|K1C10_HUMAN,";sp|P13645|K1C10_HUMAN;Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",8,2,12,1.3271,3.4278,5.8666,1.823953116405058,0.12482542037442375,0.2241430374549435
P35527,sp|P35527|K1C9_HUMAN;CON__P35527,"sp|P35527|K1C9_HUMAN;Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3;",3,1,14,1.4074,,0.22274,,,
P35908,sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908,"sp|P35908|K22E_HUMAN;Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2;;",0,0,3,,,1.3084,,,
P48995,sp|P48995|TRPC1_HUMAN;REV__sp|O15399|NMDE4_HUMAN;REV__sp|Q86X10|RLGPB_HUMAN,"sp|P48995|TRPC1_HUMAN;Short transient receptor potential channel 1 OS=Homo sapiens OX=9606 GN=TRPC1 PE=1 SV=1;sp|O15399|NMDE4_HUMAN;Glutamate receptor ionotropic, NMDA 2D OS=Homo sapiens OX=9606 GN=GRIN2D PE=1 SV=2;sp|Q86X10|RLGPB_HUMAN;Ral GTPase-activati",1,1,1,,,,,,
P08865,sp|P08865|RSSA_HUMAN;sp|A0A8I5KQE6|RPSA2_HUMAN,sp|P08865|RSSA_HUMAN;Small ribosomal subunit protein uS2 OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4;sp|A0A8I5KQE6|RPSA2_HUMAN;Small ribosomal subunit protein uS2B OS=Homo sapiens OX=9606 GN=RPSA2 PE=3 SV=1,1,1,0,,,,,,
A0A8I5KQE6,sp|P08865|RSSA_HUMAN;sp|A0A8I5KQE6|RPSA2_HUMAN,sp|P08865|RSSA_HUMAN;Small ribosomal subunit protein uS2 OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4;sp|A0A8I5KQE6|RPSA2_HUMAN;Small ribosomal subunit protein uS2B OS=Homo sapiens OX=9606 GN=RPSA2 PE=3 SV=1,1,1,0,,,,,,
A0FGR8,sp|A0FGR8|ESYT2_HUMAN,sp|A0FGR8|ESYT2_HUMAN;Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1,1,1,0,,,,,,
A0JLT2,sp|A0JLT2|MED19_HUMAN,sp|A0JLT2|MED19_HUMAN;Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2,0,1,1,,,,,,
A1L0T0,sp|A1L0T0|HACL2_HUMAN,sp|A1L0T0|HACL2_HUMAN;2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2,5,5,6,0.89568,0.94311,1.0026,-0.07836563594824379,0.16257116652195355,0.27182952135047295
A3KN83,sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN,sp|A3KN83|SBNO1_HUMAN;Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1;sp|Q9Y2G9|SBNO2_HUMAN;Protein strawberry notch homolog 2 OS=Homo sapiens OX=9606 GN=SBNO2 PE=2 SV=3,2,1,1,,,,,,
Q9Y2G9,sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN,sp|A3KN83|SBNO1_HUMAN;Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1;sp|Q9Y2G9|SBNO2_HUMAN;Protein strawberry notch homolog 2 OS=Homo sapiens OX=9606 GN=SBNO2 PE=2 SV=3,2,1,1,,,,,,
A5YKK6,sp|A5YKK6|CNOT1_HUMAN,sp|A5YKK6|CNOT1_HUMAN;CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,2,3,4,1.2691,1.1213,0.86242,0.11672849002792444,0.5174180899766848,0.6378915557025995
P30046,sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN,sp|P30046|DOPD_HUMAN;D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3;sp|A6NHG4|DDTL_HUMAN;D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1,1,1,1,,3.2443,2.1571,,,
A6NHG4,sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN,sp|P30046|DOPD_HUMAN;D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3;sp|A6NHG4|DDTL_HUMAN;D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1,1,1,1,,3.2443,2.1571,,,
A6NHQ2,sp|A6NHQ2|FBLL1_HUMAN,sp|A6NHQ2|FBLL1_HUMAN;rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2,1,0,1,,,,,,
A6NHR9,sp|A6NHR9|SMHD1_HUMAN,sp|A6NHR9|SMHD1_HUMAN;Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,2,2,2,1.0982,0.83724,0.81922,-0.12308823876108893,0.4155865278809254,0.5407901876271296
Q7Z3J3,sp|Q7Z3J3|RGPD4_HUMAN;sp|A6NKT7|RGPD3_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN,sp|Q7Z3J3|RGPD4_HUMAN;RanBP2-like and GRIP domain-containing protein 4 OS=Homo sapiens OX=9606 GN=RGPD4 PE=2 SV=3;sp|A6NKT7|RGPD3_HUMAN;RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2;sp|P0DJD0|RGPD1_HUMAN;RANBP2,1,1,1,,,,,,
A6NKT7,sp|Q7Z3J3|RGPD4_HUMAN;sp|A6NKT7|RGPD3_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN,sp|Q7Z3J3|RGPD4_HUMAN;RanBP2-like and GRIP domain-containing protein 4 OS=Homo sapiens OX=9606 GN=RGPD4 PE=2 SV=3;sp|A6NKT7|RGPD3_HUMAN;RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2;sp|P0DJD0|RGPD1_HUMAN;RANBP2,1,1,1,,,,,,
P0DJD0,sp|Q7Z3J3|RGPD4_HUMAN;sp|A6NKT7|RGPD3_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN,sp|Q7Z3J3|RGPD4_HUMAN;RanBP2-like and GRIP domain-containing protein 4 OS=Homo sapiens OX=9606 GN=RGPD4 PE=2 SV=3;sp|A6NKT7|RGPD3_HUMAN;RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2;sp|P0DJD0|RGPD1_HUMAN;RANBP2,1,1,1,,,,,,
P0DJD1,sp|Q7Z3J3|RGPD4_HUMAN;sp|A6NKT7|RGPD3_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN,sp|Q7Z3J3|RGPD4_HUMAN;RanBP2-like and GRIP domain-containing protein 4 OS=Homo sapiens OX=9606 GN=RGPD4 PE=2 SV=3;sp|A6NKT7|RGPD3_HUMAN;RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2;sp|P0DJD0|RGPD1_HUMAN;RANBP2,1,1,1,,,,,,
P07355,sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN,sp|P07355|ANXA2_HUMAN;Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;sp|A6NMY6|AXA2L_HUMAN;Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 SV=2,1,0,1,,,,,,
A6NMY6,sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN,sp|P07355|ANXA2_HUMAN;Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;sp|A6NMY6|AXA2L_HUMAN;Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 SV=2,1,0,1,,,,,,
A8CG34,sp|A8CG34|P121C_HUMAN;sp|A6NF01|P121B_HUMAN,sp|A8CG34|P121C_HUMAN;Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens OX=9606 GN=POM121C PE=1 SV=3;sp|A6NF01|P121B_HUMAN;Putative nuclear envelope pore membrane protein POM 121B OS=Homo sapiens OX=9606 GN=POM121B PE=5 SV=2,1,1,0,0.78573,0.68216,,,,
A6NF01,sp|A8CG34|P121C_HUMAN;sp|A6NF01|P121B_HUMAN,sp|A8CG34|P121C_HUMAN;Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens OX=9606 GN=POM121C PE=1 SV=3;sp|A6NF01|P121B_HUMAN;Putative nuclear envelope pore membrane protein POM 121B OS=Homo sapiens OX=9606 GN=POM121B PE=5 SV=2,1,1,0,0.78573,0.68216,,,,
P11488,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
P63096,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
P19087,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
