Entry,C1,C2,C3,M1,M2,M3,C.Mean,M.Mean,Log2FC,Pvalue,FDR,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
P57059,22.509370803833,21.0399703979492,22.11106300354,22.2378234863281,22.3023452758789,21.65283203125,21.886801401774065,22.064333597819,0.17753219604493609,0.7328457114744544,0.9968629109018278,reviewed,SIK1_HUMAN,Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK),SIK1 SIK SNF1LK,Homo sapiens (Human),783
A0FGR8,22.6035633087158,25.4821300506592,24.5762329101563,24.7250480651855,21.6187629699707,23.8364372253418,24.220642089843768,23.39341608683267,-0.8272260030110985,0.5458475540152132,0.9968629109018278,reviewed,ESYT2_HUMAN,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt),ESYT2 FAM62B KIAA1228,Homo sapiens (Human),921
A0JLT2,24.0190315246582,23.1671524047852,25.7247886657715,24.9349460601807,23.5760021209717,25.1927604675293,24.3036575317383,24.5679028828939,0.2642453511556013,0.7845445286549418,0.9968629109018278,reviewed,MED19_HUMAN,Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19),MED19 LCMR1,Homo sapiens (Human),244
A1L0T0,25.0902690887451,26.4444122314453,25.0329246520996,26.1968173980713,25.8580665588379,24.5456886291504,25.522535324096665,25.5335241953532,0.010988871256532917,0.9879307906877012,0.9968629109018278,reviewed,HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),ILVBL AHAS HACL2,Homo sapiens (Human),632
Q9Y2G9,24.1421909332275,24.7704200744629,23.7193145751953,21.3260917663574,24.5605163574219,22.4010238647461,24.2106418609619,22.76254399617513,-1.4480978647867708,0.22072506539490797,0.9968629109018278,reviewed,SBNO2_HUMAN,Protein strawberry notch homolog 2,SBNO2 KIAA0963,Homo sapiens (Human),1366
A5YKK6,21.4535675048828,22.3825950622559,22.3173580169678,23.4643840789795,21.6280384063721,21.3109703063965,22.051173528035502,22.134464263916033,0.08329073588053149,0.9152331216824956,0.9968629109018278,reviewed,CNOT1_HUMAN,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),CNOT1 CDC39 KIAA1007 NOT1 AD-005,Homo sapiens (Human),2376
A6NHQ2,24.1073322296143,20.2500343322754,24.7933750152588,25.4746322631836,21.159351348877,20.7194156646729,23.050247192382837,22.451133092244504,-0.5991141001383333,0.7870234372761574,0.9968629109018278,reviewed,FBLL1_HUMAN,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 (EC 2.1.1.-) (Protein-glutamine methyltransferase),FBLL1,Homo sapiens (Human),334
A6NHR9,21.3153419494629,23.6978454589844,21.7500514984131,23.7865619659424,23.8055782318115,21.8218688964844,22.25441296895347,23.138003031412765,0.8835900624592945,0.4202905992717685,0.9968629109018278,reviewed,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),SMCHD1 KIAA0650,Homo sapiens (Human),2005
A8CG34,26.6048431396484,26.6396179199219,24.5455722808838,26.2961406707764,27.0258045196533,24.3833065032959,25.9300111134847,25.9017505645752,-0.02826054890950047,0.9797945202298056,0.9968629109018278,reviewed,P121C_HUMAN,Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C),POM121C,Homo sapiens (Human),1229
O00116,21.3535118103027,25.1628475189209,25.3727207183838,25.9681816101074,24.5259971618652,25.1854820251465,23.963026682535798,25.2265535990397,1.2635269165039027,0.40890666164771555,0.9968629109018278,reviewed,ADAS_HUMAN,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)",AGPS AAG5,Homo sapiens (Human),658
O00139,21.8329792022705,24.5560207366943,23.1807250976563,23.8038063049316,23.7161769866943,21.5708427429199,23.189908345540363,23.030275344848604,-0.159633000691759,0.88891921400307,0.9968629109018278,reviewed,KIF2A_HUMAN,Kinesin-like protein KIF2A (Kinesin-2) (hK2),KIF2A KIF2 KNS2,Homo sapiens (Human),706
O00148,22.9170951843262,24.2494506835938,25.4985656738281,23.7980804443359,22.9986400604248,24.3150653839111,24.22170384724937,23.703928629557268,-0.5177752176921011,0.5700796859971158,0.9968629109018278,reviewed,DX39A_HUMAN,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),DDX39A DDX39,Homo sapiens (Human),427
O00151,23.9449405670166,22.418701171875,20.8202285766602,23.1489772796631,23.1946353912354,20.9484920501709,22.394623438517268,22.4307015736898,0.03607813517253078,0.9768293583070169,0.9968629109018278,reviewed,PDLI1_HUMAN,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),PDLIM1 CLIM1 CLP36,Homo sapiens (Human),329
O00159,26.4698429107666,26.8337631225586,25.1470909118652,26.4341850280762,26.9044914245605,26.3010349273682,26.150232315063466,26.546570460001636,0.39633814493817,0.5067525326198675,0.9968629109018278,reviewed,MYO1C_HUMAN,Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb),MYO1C,Homo sapiens (Human),1063
O00170,20.7881412506104,23.8890190124512,25.2990436553955,20.425365447998,22.3290920257568,25.7784385681152,23.32540130615237,22.844298680623336,-0.48110262552903293,0.8265197853761419,0.9968629109018278,reviewed,AIP_HUMAN,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),AIP XAP2,Homo sapiens (Human),330
O00186,21.8390064239502,24.5966777801514,23.1001625061035,25.3560543060303,24.0197944641113,24.322717666626,23.17861557006837,24.56618881225587,1.3875732421875,0.1955119371686619,0.9968629109018278,reviewed,STXB3_HUMAN,Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C),STXBP3,Homo sapiens (Human),592
O00193,25.8612403869629,25.6769142150879,26.0113525390625,24.6869373321533,25.4668445587158,28.4723949432373,25.849835713704437,26.208725611368802,0.3588898976643655,0.7721057264243432,0.9968629109018278,reviewed,SMAP_HUMAN,Small acidic protein,SMAP C11orf58,Homo sapiens (Human),183
O00203,24.4390468597412,25.4057769775391,22.5911273956299,26.3848724365234,25.4309368133545,23.2736968994141,24.145317077636733,25.029835383097335,0.8845183054606025,0.5138895638935986,0.9968629109018278,reviewed,AP3B1_HUMAN,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),AP3B1 ADTB3A,Homo sapiens (Human),1094
O00257,23.655891418457,24.4541893005371,24.1798000335693,23.986156463623,23.4468269348145,22.5475025177002,24.09662691752113,23.326828638712566,-0.7697982788085653,0.18442205681368762,0.9968629109018278,reviewed,CBX4_HUMAN,E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2),CBX4,Homo sapiens (Human),560
O00303,21.8347415924072,21.6522884368896,21.1672592163086,22.1253471374512,21.1417026519775,21.90163230896,21.55142974853514,21.722894032796233,0.17146428426109495,0.6571304648279704,0.9968629109018278,reviewed,EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),EIF3F EIF3S5,Homo sapiens (Human),357
O00401,23.4532470703125,20.7748565673828,20.5969676971436,21.6569175720215,21.662784576416,23.6126804351807,21.608357111612964,22.310794194539397,0.7024370829264335,0.5679170511902332,0.9968629109018278,reviewed,WASL_HUMAN,Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP),WASL,Homo sapiens (Human),505
O00410,26.3415203094482,27.230318069458,26.7176418304443,26.6432018280029,26.7043781280518,26.7371196746826,26.7631600697835,26.694899876912434,-0.06826019287106533,0.8051792394280467,0.9968629109018278,reviewed,IPO5_HUMAN,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),IPO5 KPNB3 RANBP5,Homo sapiens (Human),1097
